candidate_id	candidate	classification	confidence	references	likely_structural	source_file_count	closest_existing_term	similarity	rationale	sample_locations
motion-control	Motion control	ALIAS	high	149	no	138	Motion control (MoCo)	1.00	Aggressive label normalization matches an existing page name.	pages/Analog.md:6; pages/Automation.md:10; pages/Camera Move.md:6; pages/Camera Shake.md:6; pages/Damping (Motion Control).md:6
hybrid-workflow	Hybrid Workflow	ALIAS	high	29	no	22	Hybrid Workflow (Practical + Digital)	1.00	Aggressive label normalization matches an existing page name.	pages/CGI (Computer-Generated Imagery).md:6; pages/Chromakey (Chroma Key).md:6; pages/Cloth Simulation.md:6; pages/Cloud Rendering.md:5; pages/Cloud Rendering.md:6
rig-removal	Rig removal	ALIAS	high	22	no	19	Rig removal (VFX cleanup)	1.00	Aggressive label normalization matches an existing page name.	pages/Cast Shadow.md:6; pages/CGI (Computer-Generated Imagery).md:6; pages/Chromakey (Chroma Key).md:6; pages/Clean Plate.md:5; pages/Clean Plate.md:6
composition	Composition	ALIAS	high	17	no	17	Composition (Visual Framing)	1.00	Aggressive label normalization matches an existing page name.	pages/Action Line.md:6; pages/Aspect Ratio.md:6; pages/Bust Shot.md:6; pages/Center of Interest.md:6; pages/Chiaroscuro.md:6
cgi	CGI	ALIAS	high	14	no	14	CGI (Computer-Generated Imagery)	1.00	Aggressive label normalization matches an existing page name.	pages/Atlas (Texture Atlas).md:6; pages/Base Mesh (CG Model Base).md:6; pages/model sheet.md:7; pages/Neutral balance (white balance).md:7; pages/Neutral gray card (exposure).md:7
matte	Matte	ALIAS	high	13	no	12	Matte (VFX Compositing)	1.00	Aggressive label normalization matches an existing page name.	pages/Acetate.md:6; pages/Automask.md:6; pages/Edge Blend.md:6; pages/Element (Compositing Element).md:6; pages/Garbage Matte.md:7
resolution	Resolution	ALIAS	high	10	no	10	Resolution (3D scan)	1.00	Aggressive label normalization matches an existing page name.	pages/Alias (Aliasing).md:6; pages/Anti-aliasing.md:6; pages/ATSC Standard.md:6; pages/DPI (Dots Per Inch).md:6; pages/Interference Pattern (Moire).md:11
lip-sync	Lip sync	ALIAS	high	9	no	9	Lip Sync (Animation)	1.00	Aggressive label normalization matches an existing page name.	pages/ADR (Automated Dialogue Replacement).md:6; pages/Animator.md:6; pages/Audio Sync.md:6; pages/Bar Sheet (Exposure Sheet).md:6; pages/Click Track.md:6
miniature	Miniature	ALIAS	high	8	no	8	Miniature (practical effects)	1.00	Aggressive label normalization matches an existing page name.	pages/Backlot Set.md:6; pages/Bigature.md:6; pages/Hollywood Flat (Set Construction).md:7; pages/IV (Intravenous Fake Tube, FX).md:11; pages/Kitbash (model___prop building).md:12
timeline-editing	Timeline (Editing)	ALIAS	high	8	no	8	Timeline	1.00	Aggressive label normalization matches an existing page name.	pages/Insert Edit (Editing).md:11; pages/Key symbol (storyboards).md:11; pages/Keyframe (animation).md:11; pages/Keyframing (digital animation).md:11; pages/L-cut (audio trail).md:11
