source_file	reason	line_count
pages/Dictionary Entry%3A Prompt Template.md	filename matches candidate/index/listing vocabulary	48
pages/Dictionary Term Template.md	filename matches candidate/index/listing vocabulary	29
pages/dictionary workflow overview.md	filename matches candidate/index/listing vocabulary	53
pages/dictionary workflow template.md	filename matches candidate/index/listing vocabulary	17
pages/Dictionary — A.md	filename matches candidate/index/listing vocabulary	61
pages/Dictionary — B.md	filename matches candidate/index/listing vocabulary	61
pages/Dictionary — C.md	filename matches candidate/index/listing vocabulary	60
pages/Dictionary — D.md	filename matches candidate/index/listing vocabulary	61
pages/Dictionary — E.md	filename matches candidate/index/listing vocabulary	61
pages/Dictionary — F.md	filename matches candidate/index/listing vocabulary	62
pages/Dictionary — G.md	filename matches candidate/index/listing vocabulary	61
pages/Dictionary — H.md	filename matches candidate/index/listing vocabulary	61
pages/Dictionary — I.md	filename matches candidate/index/listing vocabulary	61
pages/Dictionary — J.md	filename matches candidate/index/listing vocabulary	50
pages/Dictionary — K.md	filename matches candidate/index/listing vocabulary	42
pages/Dictionary — L.md	filename matches candidate/index/listing vocabulary	50
pages/Dictionary — M.md	filename matches candidate/index/listing vocabulary	52
pages/Dictionary — N.md	filename matches candidate/index/listing vocabulary	50
pages/Dictionary — O.md	filename matches candidate/index/listing vocabulary	51
pages/Dictionary — P.md	filename matches candidate/index/listing vocabulary	52
pages/Dictionary — Q.md	filename matches candidate/index/listing vocabulary	50
pages/Dictionary — R.md	filename matches candidate/index/listing vocabulary	53
pages/Dictionary — S.md	filename matches candidate/index/listing vocabulary	51
pages/Dictionary — T.md	filename matches candidate/index/listing vocabulary	52
pages/Dictionary — U.md	filename matches candidate/index/listing vocabulary	52
pages/Dictionary — V.md	filename matches candidate/index/listing vocabulary	51
pages/Dictionary — W.md	filename matches candidate/index/listing vocabulary	51
pages/Dictionary — X.md	filename matches candidate/index/listing vocabulary	31
pages/Dictionary — Y.md	filename matches candidate/index/listing vocabulary	50
pages/Dictionary — Z.md	filename matches candidate/index/listing vocabulary	50
pages/dictionary.md	filename matches candidate/index/listing vocabulary	39
pages/Digital Intermediate (DI).md	filename matches candidate/index/listing vocabulary	25
pages/Film & Animation Dictionaries & Glossaries.md	filename matches candidate/index/listing vocabulary	56
pages/IBC (Intermediate Bulk Container, Set Use).md	filename matches candidate/index/listing vocabulary	29
pages/Index of Refraction (IOR).md	filename matches candidate/index/listing vocabulary	29
pages/Internegative (Film Term, Historical).md	filename matches candidate/index/listing vocabulary	29
pages/Interpositive (Film Term, Historical).md	filename matches candidate/index/listing vocabulary	30
pages/Jargon (industry terms).md	filename matches candidate/index/listing vocabulary	30
pages/Knockback (exposure or audio term).md	filename matches candidate/index/listing vocabulary	30
pages/Kuleshov workshop (pedagogical term).md	filename matches candidate/index/listing vocabulary	30
pages/MacGuffin (storytelling term).md	filename matches candidate/index/listing vocabulary	30
pages/Overcapture (360___VR video term).md	filename matches candidate/index/listing vocabulary	17
pages/Photoplay (early cinema term).md	filename matches candidate/index/listing vocabulary	15
pages/Point light (CG___VFX term).md	filename matches candidate/index/listing vocabulary	15
pages/Q-beam (lighting term).md	filename matches candidate/index/listing vocabulary	15
pages/Quartermaster (prop___wardrobe role, historical).md	filename matches candidate/index/listing vocabulary	15
pages/Self-shadow (lighting___CG term).md	filename matches candidate/index/listing vocabulary	20
pages/Uncut (editing term).md	filename matches candidate/index/listing vocabulary	20
pages/Upstage (blocking term).md	filename matches candidate/index/listing vocabulary	20
