source_file	label	url
pages/Film & Animation Dictionaries & Glossaries.md	Columbia Film Language Glossary	https://filmglossary.ccnmtl.columbia.edu/?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	Glossary of Film Terms (University of West Georgia)	https://www.westga.edu/academics/university-college/writing/glossary_of_film_terms.php?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	Glossary of Motion Picture Terms (Kodak)	https://www.kodak.com/en/motion/page/glossary-of-motion-picture-terms/?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	Glossary of Motion Picture Terms (Wikipedia)	https://en.wikipedia.org/wiki/Glossary_of_motion_picture_terms?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	The Ultimate Filmmaking Glossary (StudioBinder)	https://www.studiobinder.com/blog/movie-film-terms/?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	Glossary (Moving Image Education)	https://movingimageeducation.org/analyse-film/resources/glossary?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	Glossary of Film and Television Terms (BFI / Screenonline)	https://www.screenonline.org.uk/education/glossary.html?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	Animators Dictionary (Move Animation)	https://www.moveanimation.com/animators-dictionary?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	Animation Glossary (Creature Art Teacher)	https://creatureartteacher.com/animation-glossary/?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	Terms and Definitions (Bloop Animation)	https://www.bloopanimation.com/lesson/terms-and-definitions/?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	Toon Boom Glossary	https://docs.toonboom.com/help/glossary/glossary/glossary.html?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	FIAF Glossary of Filmographic Terms	https://www.fiafnet.org/pages/e-resources/glossary.html?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	The Essential Motion Design Dictionary (School of Motion)	https://www.schoolofmotion.com/blog/motion-design-dictionary?utm_source=chatgpt.com
pages/Film & Animation Dictionaries & Glossaries.md	A Glossary Of Screenwriting Terms & Filmmaking Definitions (Movie Outline)	https://www.movieoutline.com/articles/a-glossary-of-screenwriting-terms-and-filmmaking-definitions.html?utm_source=chatgpt.com
