candidate_id	candidate	references	source_file_count	likely_structural	sample_locations
multipass	Multipass	179	166	no	pages/Chromakey (Chroma Key).md:6; pages/Clean Plate.md:5; pages/Clean Plate.md:6; pages/Cloud Rendering.md:6; pages/Color Grading.md:5
motion-control	Motion control	149	138	no	pages/Analog.md:6; pages/Automation.md:10; pages/Camera Move.md:6; pages/Camera Shake.md:6; pages/Damping (Motion Control).md:6
lighting	Lighting	108	107	no	pages/Additive Color.md:7; pages/Aerial Perspective.md:6; pages/Atmosphere.md:10; pages/Backscatter (Lighting Effect).md:6; pages/Balance (White Balance).md:6
stop-motion	Stop-motion	108	108	no	pages/Animator.md:6; pages/Brick Film (Lego Animation).md:6; pages/Cel Animation.md:6; pages/Go Motion.md:9; pages/Hand Crank Camera.md:7
stop-motion-workflow	Stop-motion workflow	87	87	no	pages/Playback monitor.md:13; pages/Pop (exposure or audio spike).md:13; pages/Pre-production.md:13; pages/Quad rig (multi-cam mount).md:7; pages/Quad split (monitoring).md:13
miniature-photography	Miniature photography	76	76	no	logseq/.recycle/pages_Rackover (lens alignment).md:7; pages/Quirky lens (toy lens aesthetic).md:7; pages/Quotidian imagery (everyday objects in animation).md:7; pages/rackover.md:7; pages/Rag (lighting diffusion).md:7
rigging	Rigging	53	52	no	pages/Apple Box.md:6; pages/Armature.md:6; pages/Arrangement Drawing.md:6; pages/Articulation.md:6; pages/Boom Arm.md:9
hybrid-workflow	Hybrid Workflow	29	22	no	pages/CGI (Computer-Generated Imagery).md:6; pages/Chromakey (Chroma Key).md:6; pages/Cloth Simulation.md:6; pages/Cloud Rendering.md:5; pages/Cloud Rendering.md:6
vfx	VFX	29	29	no	pages/Background Plate.md:6; pages/Open matte.md:13; pages/Optical illusion (animation___VFX).md:7; pages/Optical printer.md:5; pages/Orthographic view (animation___3D).md:5
storyboards	Storyboards	27	22	no	pages/Color Script.md:6; pages/Color Script.md:11; pages/Coverage (Film Coverage).md:5; pages/Coverage (Film Coverage).md:6; pages/Design Bible.md:6
lens-calibration	Lens Calibration	26	19	no	pages/Conversion Lens.md:12; pages/Distortion (Lens).md:6; pages/Effective Focal Length (EFL).md:5; pages/Effective Focal Length (EFL).md:6; pages/Embedded Metadata (EXIF, IPTC).md:5
puppet-fabrication	Puppet Fabrication	26	26	no	pages/Epoxy Putty (Puppet Fabrication).md:5; pages/Full-Scale Puppet.md:7; pages/Glass Fiber Reinforced Puppet.md:7; pages/Gore-Tex Puppet Joint (Fabrication Trick).md:7; pages/Guide Puppet (Animation Planning).md:7
sound-design	Sound design	25	25	no	pages/Atmosphere.md:10; pages/Audiovisual.md:6; pages/Dialogue Editing.md:12; pages/Echo (Sound Effect).md:6; pages/Foley Sound.md:7
film-stock	Film stock	24	24	no	pages/ASA (Film Speed).md:6; pages/Emulsion (Film Stock).md:6; pages/Exposure Latitude.md:6; pages/Film Grain (Texture or Effect).md:7; pages/Film Speed (ISO___ASA).md:7
key-light	Key light	24	23	no	pages/Ambient Light.md:6; pages/Backlight.md:6; pages/Bounce Light.md:6; pages/Broad Light.md:6; pages/Butterfly Lighting.md:6
pipeline	Pipeline	24	23	no	pages/ACEScg.md:12; pages/Amortization.md:6; pages/Animatic.md:6; pages/Automation.md:10; pages/Availability.md:10
multipass-shooting	Multipass Shooting	22	22	no	pages/Keyer (chroma key tool).md:11; pages/Layer (compositing).md:11; pages/Layered set (stop-motion staging).md:12; pages/Lens breathing.md:11; pages/Level (tripod___rig tool).md:12
rig-removal	Rig removal	22	19	no	pages/Cast Shadow.md:6; pages/CGI (Computer-Generated Imagery).md:6; pages/Chromakey (Chroma Key).md:6; pages/Clean Plate.md:5; pages/Clean Plate.md:6
framing	Framing	21	20	no	pages/Aspect Ratio.md:6; pages/Bust Shot.md:6; pages/Center of Interest.md:6; pages/Close-Up.md:6; pages/Composition (Visual Framing).md:6
camera-alignment	Camera alignment	19	18	no	pages/Outtake.md:14; pages/Overhang (set building).md:5; pages/Perspective grid.md:13; pages/Quick frame (single test frame).md:7; pages/Rack focus.md:5
playback	Playback	19	19	no	pages/Clip (Film Clip).md:6; pages/Compression (Video Compression).md:6; pages/Dailies.md:6; pages/Dead Frame.md:6; pages/Double-Frame (On Twos).md:6
camera	Camera	18	18	no	pages/Animation Camera.md:6; pages/Conversion Lens.md:6; pages/Deep Focus.md:6; pages/Dictionary Term Template.md:9; pages/Lens cap.md:11
set-design	Set design	18	18	no	pages/Arrangement Drawing.md:6; pages/Assemblage.md:6; pages/Backlot Set.md:6; pages/Bigature.md:6; pages/Cyclorama (Cyc).md:6
stop-motion-cinematography	Stop-motion cinematography	18	18	no	pages/Piggyback rig (camera mounting).md:13; pages/Point of view shot (POV).md:13; pages/Q-beam (lighting term).md:13; pages/Quadcopter (drone cinematography).md:7; pages/Quadratic falloff (light physics).md:13
composition	Composition	17	17	no	pages/Action Line.md:6; pages/Aspect Ratio.md:6; pages/Bust Shot.md:6; pages/Center of Interest.md:6; pages/Chiaroscuro.md:6
performance	Performance	17	15	no	pages/Animism.md:6; pages/Business (Animation Action).md:6; pages/Character Animation.md:6; pages/Crowd Simulation.md:6; pages/Cycle (Animation Cycle).md:6
cg-integration	CG integration	16	15	no	pages/Rack focus.md:5; pages/Rack focus.md:19; pages/Render farm.md:7; pages/Render pass.md:7; pages/rendering.md:7
foley	Foley	16	16	no	pages/Buzz Track (Sound).md:6; pages/Dual-System Sound.md:6; pages/Echo (Sound Effect).md:6; pages/Event Cue (Sound ___ Music).md:6; pages/Post sync (ADR).md:13
timecode	Timecode	16	12	no	pages/Burn-In (Image Burn or Overlay).md:6; pages/Burnt-In Timecode.md:6; pages/Dual-System Sound.md:5; pages/Dual-System Sound.md:6; pages/Genlock (Synchronization).md:7
focal-length	Focal Length	15	14	no	pages/Conversion Lens.md:6; pages/Deep Focus.md:6; pages/Depth of Field.md:5; pages/Depth of Field.md:6; pages/Distortion (Lens).md:6
practical-effects	Practical effects	15	15	no	pages/Bigature.md:6; pages/Cloth Simulation.md:6; pages/Evaporation Effect (Practical FX).md:6; pages/Fire Effect (Practical or VFX).md:7; pages/Fog Machine.md:7
storyboarding	Storyboarding	15	15	no	pages/Hook (Narrative Device).md:10; pages/Iconography (Visual Symbolism).md:10; pages/Inciting Incident (Storytelling).md:10; pages/MacGuffin (storytelling term).md:11; pages/Narration.md:9
cgi	CGI	14	14	no	pages/Atlas (Texture Atlas).md:6; pages/Base Mesh (CG Model Base).md:6; pages/model sheet.md:7; pages/Neutral balance (white balance).md:7; pages/Neutral gray card (exposure).md:7
storyboard	Storyboard	14	14	no	pages/Animatic.md:6; pages/Dope Sheet (Exposure Sheet, X-Sheet).md:6; pages/Mock-up (previsualization).md:9; pages/Notation (storyboard___score).md:10; pages/Overhead shot.md:6
matchmoving	Matchmoving	13	12	no	pages/CGI (Computer-Generated Imagery).md:6; pages/Control Point (Tracking).md:6; pages/Conversion Lens.md:12; pages/Distortion (Lens).md:5; pages/Distortion (Lens).md:6
